Fare for Bike,[Waiting Time of Bike],Fare for Auto,[Waiting Time of Auto],Fare for Car,[Waiting Time of Car],Platform,Hour,Minute,DecimalHour,Day,Weekend,Rushhour,DistanceKm,Duration,TrafficLevel,SurgeValue,PickupTemperature,PickupWindSpeed,PickupWeatherCode,PickupHumidity,DropTemperature,DropWindSpeed,DropWeatherCode,DropHumidity,PickupZone,DropZone,BikeWait,AutoWait,CarWait,priceKmBike,priceKmAuto,priceKmCar
65,"4,8",95,"4,7",134,"4,8",RAPIDO,21,27,21.45,0,1,1,5.203,18.26666667,HEAVY,0,26,4.1,1,55,26.1,4.1,1,55,TRANSIT_HUB,RESIDENTIAL,4,4,4,12.49,18.26,25.75
334,"4,",,,841,"2,",UBER,23,30,23.5,0,1,0,38.808,67.65,NORMAL,1,22.2,3.9,0,73,23.6,4.3,0,66,TRANSIT_HUB,RESIDENTIAL,4,0,2,8.61,0,21.67
226,"4,",,,573,"2,9",UBER,23,33,23.55,0,1,0,19.818,35.03333333,NORMAL,1,22.2,3.9,0,73,24.2,4.1,0,65,TRANSIT_HUB,RESIDENTIAL,4,0,2,11.4,0,28.91
141.41,"4,2",,,376,"2,7",UBER,23,35,23.58,0,1,0,11.728,23.13333333,NORMAL,1,22.2,3.9,0,73,22.1,3.9,0,73,TRANSIT_HUB,RESIDENTIAL,4,0,2,12.06,0,32.06
226,"4,2",,,572,"2,7",UBER,23,39,23.65,0,1,0,19.818,35.03333333,NORMAL,1,22.2,3.9,0,73,24.2,4.1,0,65,TRANSIT_HUB,RESIDENTIAL,4,0,2,11.4,0,28.86
389,"4,2",,,1090,"2,7",UBER,23,42,23.7,0,1,0,46.239,69.06666667,LOW,1,22.2,3.9,0,73,23.8,4.1,0,68,TRANSIT_HUB,RESIDENTIAL,4,0,2,8.41,0,23.57
332,"4,2",,,839,"2,6",UBER,23,44,23.73,0,1,0,38.808,67.65,NORMAL,1,22.2,3.9,0,73,23.6,4.3,0,66,TRANSIT_HUB,RESIDENTIAL,4,0,2,8.55,0,21.62
166,"5,6",261,"3,8",330,"3,8",RAPIDO,8,21,8.35,1,0,1,19.081,42.91666667,MODERATE,1,21.3,5.1,3,77,20.1,5.5,3,83,RESIDENTIAL,RESIDENTIAL,5,3,3,8.7,13.68,17.29
104,"1,8",178,"1,8",220,"1,8",RAPIDO,8,24,8.4,1,0,1,11.924,30.63333333,MODERATE,1,20.1,5.5,3,83,21.3,5.1,3,77,RESIDENTIAL,RESIDENTIAL,1,1,1,8.72,14.93,18.45
62,"5,8",137,"5,8",178,"5,8",RAPIDO,8,28,8.47,1,0,1,3.703,8.6,MODERATE,1,21.3,5.1,3,77,21.3,5.1,3,77,RESIDENTIAL,RESIDENTIAL,5,5,5,16.74,37,48.07
39,"2,8",58,"2,8",103,"2,8",RAPIDO,8,31,8.52,1,0,1,4.166,9.166666667,MODERATE,1,22.1,5.4,3,74,22,5.4,3,74,RESIDENTIAL,RESIDENTIAL,2,2,2,9.36,13.92,24.72
69,"2,8",109,"2,8",153,"2,8",RAPIDO,8,34,8.57,1,0,1,6.024,13.46666667,MODERATE,1,22,5.4,3,74,22,5.4,3,74,RESIDENTIAL,RESIDENTIAL,2,2,2,11.45,18.09,25.4
48,"3,8",89,"3,8",119,"3,8",RAPIDO,8,37,8.62,1,0,1,5.501,12.15,MODERATE,0,22,5.4,3,74,22,5.4,3,74,RESIDENTIAL,RESIDENTIAL,3,3,3,8.73,16.18,21.63
150,"2,8",214,"2,8",262,"2,8",RAPIDO,8,40,8.67,1,0,1,17.897,36.68333333,NORMAL,0,22,5.4,3,74,21.4,4.7,2,75,RESIDENTIAL,RESIDENTIAL,2,2,2,8.38,11.96,14.64
174,"1,8",224,"1,8",266,"1,8",RAPIDO,8,44,8.73,1,0,1,15.304,33.11666667,MODERATE,1,21.4,4.7,2,75,22,5.4,3,74,RESIDENTIAL,RESIDENTIAL,1,1,1,11.37,14.64,17.38
101,"2,8",159,"2,8",210,"2,8",RAPIDO,8,46,8.77,1,0,1,10.151,28.38333333,HEAVY,0,22.7,5.8,3,72,21.6,5.7,3,79,RESIDENTIAL,RESIDENTIAL,2,2,2,9.95,15.66,20.69
181,"1,8",264,"1,8",288,"1,8",RAPIDO,8,49,8.82,1,0,1,20.101,43.35,MODERATE,1,21.6,5.7,3,79,22.8,5.8,3,72,RESIDENTIAL,RESIDENTIAL,1,1,1,9,13.13,14.33
167,"3,8",259,"3,8",261,"3,8",RAPIDO,8,52,8.87,1,0,1,16.289,33.2,NORMAL,1,22.8,5.8,3,72,22.2,4.7,3,73,RESIDENTIAL,RESIDENTIAL,3,3,3,10.25,15.9,16.02
34,"5,8",67,"5,8",104,"5,8",RAPIDO,8,56,8.93,1,0,1,2.449,9.666666667,HEAVY,1,22.2,4.7,3,73,22.2,4.7,3,73,RESIDENTIAL,HEALTHCARE,5,5,5,13.88,27.36,42.47
290,"4,8",359,"4,8",442,"4,8",RAPIDO,8,58,8.97,1,0,1,2.803,8.583333333,HEAVY,1,22.2,4.7,3,73,22.1,4.7,3,73,HEALTHCARE,RESIDENTIAL,4,4,4,103.46,128.08,157.69
227,"2,8",396,"2,8",517,"5,8",RAPIDO,9,0,9,1,0,1,14.986,34.66666667,MODERATE,1,22.8,5.1,3,70,22.3,5.7,3,78,RESIDENTIAL,RESIDENTIAL,2,2,5,15.15,26.42,34.5
153,"3,8",330,"3,8",314,"3,8",RAPIDO,9,2,9.03,1,0,1,17.061,40.28333333,MODERATE,0,22.3,5.7,3,78,23.4,5.8,3,69,RESIDENTIAL,RESIDENTIAL,3,3,3,8.97,19.34,18.4
210,"3,8",269,"3,8",312,"3,8",RAPIDO,11,38,11.63,1,0,0,19.081,42.91666667,MODERATE,1,29.9,7.1,3,54,29.2,7.7,3,61,RESIDENTIAL,RESIDENTIAL,3,3,3,11.01,14.1,16.35
115,"1,8",183,"1,8",253,"1,8",RAPIDO,11,40,11.67,1,0,0,11.924,30.63333333,MODERATE,0,29.2,7.7,3,61,30,7.1,3,54,RESIDENTIAL,RESIDENTIAL,1,1,1,9.64,15.35,21.22
60,"5,8",87,"5,8",133,"5,8",RAPIDO,11,42,11.7,1,0,0,3.703,8.6,MODERATE,1,30.1,5.8,3,52,30.1,5.8,3,52,RESIDENTIAL,RESIDENTIAL,5,5,5,16.2,23.49,35.92
36,"2,8",63,"2,8",107,"2,8",RAPIDO,11,45,11.75,1,0,0,4.166,9.166666667,MODERATE,0,30.6,6,3,50,30.6,6,3,50,RESIDENTIAL,RESIDENTIAL,2,2,2,8.64,15.12,25.68
71,"2,8",109,"2,8",156,"2,8",RAPIDO,11,47,11.78,1,0,0,6.024,13.46666667,MODERATE,0,30.5,7.4,3,52,30.5,7.4,3,52,RESIDENTIAL,RESIDENTIAL,2,2,2,11.79,18.09,25.9
51,"3,8",88,"3,8",120,"3,8",RAPIDO,11,49,11.82,1,0,0,5.501,12.15,MODERATE,1,30.5,7.4,3,52,30.5,7.4,3,52,RESIDENTIAL,RESIDENTIAL,3,3,3,9.27,16,21.81
157,"2,8",207,"2,8",287,"2,8",RAPIDO,11,52,11.87,1,0,0,17.897,36.68333333,NORMAL,0,30.5,7.4,3,52,29.8,7.5,3,55,RESIDENTIAL,RESIDENTIAL,2,2,2,8.77,11.57,16.04
164,"1,8",213,"1,8",270,"5,8",RAPIDO,11,54,11.9,1,0,0,15.304,33.11666667,MODERATE,1,29.8,7.5,3,55,30.5,7.4,3,52,RESIDENTIAL,RESIDENTIAL,1,1,5,10.72,13.92,17.64
110,"2,8",156,"2,8",221,"2,8",RAPIDO,11,57,11.95,1,0,0,10.151,28.38333333,HEAVY,1,30.6,6,3,50,30,5.2,3,58,RESIDENTIAL,RESIDENTIAL,2,2,2,10.84,15.37,21.77
174,"1,8",222,"1,8",287,"1,8",RAPIDO,11,59,11.98,1,0,0,20.101,43.35,MODERATE,1,29.8,8.1,3,59,30.5,7.4,3,52,RESIDENTIAL,RESIDENTIAL,1,1,1,8.66,11.04,14.28
139,"4,8",190,"3,8",211,"3,8",RAPIDO,12,1,12.02,1,0,0,16.289,33.2,NORMAL,1,31,7.5,3,50,30.3,7.9,3,53,RESIDENTIAL,RESIDENTIAL,4,3,3,8.53,11.66,12.95
32,"5,8",57,"5,8",104,"5,8",RAPIDO,12,3,12.05,1,0,0,2.449,9.666666667,HEAVY,1,30.3,7.9,3,53,30.4,7.9,3,53,RESIDENTIAL,HEALTHCARE,5,5,5,13.07,23.27,42.47
254,"5,8",370,"5,8",356,"5,8",RAPIDO,12,5,12.08,1,0,0,2.803,8.583333333,HEAVY,1,30.4,7.9,3,53,30.3,7.9,3,53,HEALTHCARE,RESIDENTIAL,5,5,5,90.62,132,127.01
207,"2,8",354,"2,8",433,"2,8",RAPIDO,12,8,12.13,1,0,0,14.986,34.66666667,MODERATE,1,30.3,7.9,3,53,30.3,8.1,3,56,RESIDENTIAL,RESIDENTIAL,2,2,2,13.81,23.62,28.89
177,"3,8",325,"3,8",256,"3,8",RAPIDO,12,10,12.17,1,0,0,17.061,40.28333333,MODERATE,1,30.3,8.1,3,56,30.9,7.5,3,50,RESIDENTIAL,RESIDENTIAL,3,3,3,10.37,19.05,15
40,"4,8",55,"4,7",106,"4,10",RAPIDO,13,25,13.42,1,0,0,3.894,12.45,HEAVY,0,32.7,7.8,3,44,32.7,7.8,3,44,RESIDENTIAL,TRANSIT_HUB,4,4,4,10.27,14.12,27.22
30,"2,2",51.5,"3,2",104.2,"2,10",UBER,13,31,13.52,1,0,0,3.894,12.45,HEAVY,0,33.2,9.7,3,43,33.2,9.7,3,43,RESIDENTIAL,TRANSIT_HUB,2,3,2,7.7,13.23,26.76
30,"3,3",55.33,"1,5",121.62,"2,11",UBER,13,34,13.57,1,0,0,2.209,6.866666667,HEAVY,0,32.6,8.4,3,42,32.6,8.4,3,42,RESIDENTIAL,TRANSIT_HUB,3,1,2,13.58,25.05,55.06
25,"3,8",68,"3,8",106,"3,8",RAPIDO,13,38,13.63,1,0,0,2.209,6.866666667,HEAVY,0,32.6,9.8,3,44,32.6,9.8,3,44,RESIDENTIAL,TRANSIT_HUB,3,3,3,11.32,30.78,47.99
47,"3,8",71,"3,8",120,"3,8",RAPIDO,13,42,13.7,1,0,0,5.433,14.36666667,MODERATE,0,32.9,8.1,3,43,32.9,8.1,3,43,RESIDENTIAL,RESIDENTIAL,3,3,3,8.65,13.07,22.09
50,"4,8",156,"4,8",175,"4,8",RAPIDO,18,7,18.12,1,0,1,4.399,17.75,HEAVY,0,31.6,4.6,3,43,31.6,4.6,3,43,TRANSIT_HUB,RESIDENTIAL,4,4,4,11.37,35.46,39.78
60,"3,8",140,"3,8",130,"3,8",RAPIDO,18,9,18.15,1,0,1,5.807,14.46666667,MODERATE,1,31.9,3.6,3,47,31.9,3.6,3,47,RESIDENTIAL,RESIDENTIAL,3,3,3,10.33,24.11,22.39
40,"3,8",100,"3,8",108,"3,8",RAPIDO,18,10,18.17,1,0,1,3.638,7.733333333,MODERATE,0,31.9,3.6,3,45,31.9,3.6,3,45,RESIDENTIAL,RESIDENTIAL,3,3,3,11,27.49,29.69
40,"5,8",81,"9,8",119,"9,8",RAPIDO,18,12,18.2,1,0,1,2.035,9.1,HEAVY,1,31.6,4.6,3,43,31.7,4.6,3,43,RESIDENTIAL,RESIDENTIAL,5,9,9,19.66,39.8,58.48
76,"5,8",250,"5,8",192,"5,8",RAPIDO,18,16,18.27,1,0,1,10.632,24.53333333,MODERATE,0,31.4,3.1,3,49,31.5,3.1,3,49,RESIDENTIAL,RESIDENTIAL,5,5,5,7.15,23.51,18.06
48.02,"6,7",81.96,"5,7",175.09,"6,8",UBER,18,18,18.3,1,0,1,4.399,17.75,HEAVY,0,31.2,3.4,3,48,31.1,3.4,3,48,TRANSIT_HUB,RESIDENTIAL,6,5,6,10.92,18.63,39.8
27,"4,7",75.26,"3,7",105.31,"3,7",UBER,18,19,18.32,1,0,1,5.807,14.46666667,MODERATE,0,31.5,3.1,3,49,31.5,3.1,3,49,RESIDENTIAL,RESIDENTIAL,4,3,3,4.65,12.96,18.14
44.76,"2,8",71.91,"1,6",124.58,"2,7",UBER,18,21,18.35,1,0,1,3.638,7.733333333,MODERATE,0,31.3,3.3,3,47,31.3,3.3,3,47,RESIDENTIAL,RESIDENTIAL,2,1,2,12.3,19.77,34.24
27,"8,7",52.59,"9,2",122.52,"12,2",UBER,18,23,18.38,1,0,1,2.035,9.1,HEAVY,0,31.1,3.4,3,48,31.2,3.4,3,48,RESIDENTIAL,RESIDENTIAL,8,9,12,13.27,25.84,60.21
79.26,"2,6",100.89,"5,7",237,"1,6",UBER,18,25,18.42,1,0,1,10.632,24.53333333,MODERATE,0,31.4,3.1,3,49,31.5,3.1,3,49,RESIDENTIAL,RESIDENTIAL,2,5,1,7.45,9.49,22.29
50,"4,8",106,"4,8",170,"4,8",RAPIDO,19,37,19.62,1,0,1,4.399,17.75,HEAVY,0,29.6,2.6,2,53,29.5,2.6,2,53,TRANSIT_HUB,RESIDENTIAL,4,4,4,11.37,24.1,38.65
70,"3,8",93,"3,8",167,"3,8",RAPIDO,19,38,19.63,1,0,1,5.807,14.46666667,MODERATE,1,29.9,2.4,3,54,29.9,2.4,3,54,RESIDENTIAL,RESIDENTIAL,3,3,3,12.05,16.02,28.76
40,"3,8",55,"3,8",104,"3,8",RAPIDO,19,39,19.65,1,0,1,3.638,7.733333333,MODERATE,0,29.6,2.4,3,54,29.6,2.4,3,54,RESIDENTIAL,RESIDENTIAL,3,3,3,11,15.12,28.59
42,"5,8",104,"9,7",156,"9,8",RAPIDO,19,40,19.67,1,0,1,2.035,9.1,HEAVY,1,29.1,3.4,1,53,29.2,3.4,1,53,RESIDENTIAL,RESIDENTIAL,5,9,9,20.64,51.11,76.66
77,"5,8",159,"5,7",236,"5,7",RAPIDO,19,42,19.7,1,0,1,10.632,24.53333333,MODERATE,0,29.8,2.4,3,54,29.9,2.4,3,54,RESIDENTIAL,RESIDENTIAL,5,5,5,7.24,14.95,22.2
43.21,"6,5",74.6,"4,8",178.2,"5,8",UBER,19,44,19.73,1,0,1,4.399,17.75,HEAVY,0,29.6,2.6,2,53,29.5,2.6,2,53,TRANSIT_HUB,RESIDENTIAL,6,4,5,9.82,16.96,40.51
27,"4,6",52.03,"3,7",108.15,"3,7",UBER,19,45,19.75,1,0,1,5.807,14.46666667,MODERATE,0,29.2,3.2,0,55,29.2,3.2,0,55,RESIDENTIAL,RESIDENTIAL,4,3,3,4.65,8.96,18.62
37.17,"2,7",75.92,"2,6",129.48,"2,7",UBER,19,47,19.78,1,0,1,3.638,7.733333333,MODERATE,0,28.8,3.3,0,54,28.8,3.3,0,54,RESIDENTIAL,RESIDENTIAL,2,2,2,10.22,20.87,35.59
27,"7,7",47.89,"8,3",130.05,"13,3",UBER,19,48,19.8,1,0,1,2.035,9.1,HEAVY,0,29.3,2.6,0,54,29.4,2.6,0,54,RESIDENTIAL,RESIDENTIAL,7,8,13,13.27,23.53,63.91
70.9,"2,5",108.93,"5,8",218.58,"3,7",UBER,19,50,19.83,1,0,1,10.632,24.53333333,MODERATE,0,29.5,2.4,0,55,29.6,2.4,0,55,RESIDENTIAL,RESIDENTIAL,2,5,3,6.67,10.25,20.56
48,"4,8",106,"4,8",170,"4,8",RAPIDO,20,47,20.78,1,0,1,4.399,17.75,HEAVY,0,28.2,2.6,0,57,28.2,2.6,0,57,TRANSIT_HUB,RESIDENTIAL,4,4,4,10.91,24.1,38.65
63,"3,8",96,"3,8",127,"3,8",RAPIDO,20,49,20.82,1,0,1,5.807,14.46666667,MODERATE,0,28.4,2.6,0,59,28.4,2.6,0,59,RESIDENTIAL,RESIDENTIAL,3,3,3,10.85,16.53,21.87
40,"3,8",55,"3,8",104,"3,8",RAPIDO,20,51,20.85,1,0,1,3.638,7.733333333,MODERATE,0,28.2,2.3,0,56,28.2,2.3,0,56,RESIDENTIAL,RESIDENTIAL,3,3,3,11,15.12,28.59
32,"5,8",109,"5,8",123,"9,8",RAPIDO,20,52,20.87,1,0,1,2.035,9.1,HEAVY,0,28.2,2.6,0,57,28.3,2.6,0,57,RESIDENTIAL,RESIDENTIAL,5,5,9,15.72,53.56,60.44
76,"5,8",182,"5,8",181,"5,8",RAPIDO,20,54,20.9,1,0,1,10.632,24.53333333,MODERATE,0,28.3,2.6,0,59,28.4,2.6,0,59,RESIDENTIAL,RESIDENTIAL,5,5,5,7.15,17.12,17.02
43.09,"6,8",85.9,"5,8",167.37,"6,8",UBER,20,56,20.93,1,0,1,4.399,17.75,HEAVY,0,28.2,2.6,0,57,28.2,2.6,0,57,TRANSIT_HUB,RESIDENTIAL,6,5,6,9.8,19.53,38.05
27.4,"3,7",47.38,"2,7",99.2,"3,8",UBER,20,59,20.98,1,0,1,5.807,14.46666667,MODERATE,0,28.4,2.6,0,59,28.4,2.6,0,59,RESIDENTIAL,RESIDENTIAL,3,2,3,4.72,8.16,17.08
25,"3,8",52.03,"2,8",99.2,"4,8",UBER,21,0,21,1,0,1,5.807,14.46666667,MODERATE,0,28,2.7,0,61,28,2.7,0,61,RESIDENTIAL,RESIDENTIAL,3,2,4,4.31,8.96,17.08
37.08,"3,8",64.84,"2,6",99.2,"3,7",UBER,21,2,21.03,1,0,1,3.638,7.733333333,MODERATE,0,27.9,2.4,0,57,27.9,2.4,0,57,RESIDENTIAL,RESIDENTIAL,3,2,3,10.19,17.82,27.27
24,"6,6",52.59,"6,8",120.38,"7,8",UBER,21,4,21.07,1,0,1,2.035,9.1,HEAVY,0,27.8,2.7,0,59,27.9,2.7,0,59,RESIDENTIAL,RESIDENTIAL,6,6,7,11.79,25.84,59.15
69.02,"3,8",131.33,"6,8",169.57,"6,8",UBER,21,6,21.1,1,0,1,10.632,24.53333333,MODERATE,0,27.9,2.7,0,61,28,2.7,0,61,RESIDENTIAL,RESIDENTIAL,3,6,6,6.49,12.35,15.95
228,"5,2",,,535,"3,9",UBER,22,57,22.95,1,0,0,19.818,35.03333333,NORMAL,0,24.3,4.7,0,74,26.3,4,0,65,TRANSIT_HUB,RESIDENTIAL,5,0,3,11.5,0,27
151,"3,2",236,"1,1",246,"2,9",UBER,22,59,22.98,1,0,0,18.441,43.1,MODERATE,0,26.3,4,0,65,25.7,4.3,0,65,TRANSIT_HUB,RESIDENTIAL,3,1,2,8.19,12.8,13.34
317,"2,2",,,729,"2,8",UBER,23,1,23.02,1,0,0,24.415,43.61666667,NORMAL,0,23.4,4.5,0,80,25.8,4,0,70,RESIDENTIAL,RESIDENTIAL,2,0,2,12.98,0,29.86
331,"4,2",,,1001,"2,5",UBER,23,4,23.07,1,0,0,43.276,75.16666667,NORMAL,0,23.4,4.5,0,80,25.3,4,0,70,RESIDENTIAL,RESIDENTIAL,4,0,2,7.65,0,23.13
225,"6,2",,,404,"5,8",UBER,23,6,23.1,1,0,0,25.519,45.35,NORMAL,0,25.7,4,0,70,25.3,4,0,70,TRANSIT_HUB,RESIDENTIAL,6,0,5,8.82,0,15.83
270,"5,2",,,593,"5,8",UBER,23,8,23.13,1,0,0,29.138,48.38333333,NORMAL,0,25.7,4,0,70,25.3,4,0,74,TRANSIT_HUB,RESIDENTIAL,5,0,5,9.27,0,20.35
202,"6,2",400,"9,1",636,"3,7",UBER,23,10,23.17,1,0,0,20.35,41.8,NORMAL,0,25.9,4,0,68,26,4,0,68,RESIDENTIAL,RESIDENTIAL,6,9,3,9.93,19.66,31.25
177,"3,2",380,"3,1",286,"2,6",UBER,23,16,23.27,1,0,0,18.691,34.71666667,NORMAL,0,24.8,4,0,79,24.7,4,0,79,RESIDENTIAL,RESIDENTIAL,3,3,2,9.47,20.33,15.3
270,"6,2",,,594,"5,8",UBER,23,19,23.32,1,0,0,29.138,48.38333333,NORMAL,0,25.2,4.3,0,75,24.7,4,0,79,TRANSIT_HUB,RESIDENTIAL,6,0,5,9.27,0,20.39
295,"4,1",498,"4,1",519,"4,4",RAPIDO,23,21,23.35,1,0,0,25.519,45.35,NORMAL,0,25.2,4.3,0,75,24.7,4.4,0,75,TRANSIT_HUB,RESIDENTIAL,4,4,4,11.56,19.51,20.34
243,"4,1",459,"4,1",441,"4,5",UBER,23,23,23.38,1,0,0,23.606,44.03333333,NORMAL,0,24.7,4,0,79,24.7,4.4,0,75,RESIDENTIAL,RESIDENTIAL,4,4,4,10.29,19.44,18.68
359,"4,1",449,"4,2",420,"3,5",RAPIDO,23,26,23.43,1,0,0,11.172,28.2,MODERATE,0,24.7,4,0,79,25.2,4.3,0,75,RESIDENTIAL,RESIDENTIAL,4,4,3,32.13,40.19,37.59
,,470,"3,2",379,"3,5",RAPIDO,23,28,23.47,1,0,0,4.882,13.9,HEAVY,0,25.2,4.3,0,75,25.2,4.3,0,75,TRANSIT_HUB,RESIDENTIAL,0,3,3,0,96.27,77.63
,,355,"3,1",427,"3,6",RAPIDO,23,30,23.5,1,0,0,18.956,35.66666667,NORMAL,0,24.8,4.3,0,78,24.2,4.3,0,83,TRANSIT_HUB,RESIDENTIAL,0,3,3,0,18.73,22.53
,,,,550,"2,5",RAPIDO,23,49,23.82,1,0,0,18.804,27.4,LOW,0,23.9,4.3,0,85,24.5,4.3,0,80,RESIDENTIAL,RESIDENTIAL,0,0,2,0,0,29.25
385,"4,1",,,517,"4,4",RAPIDO,23,52,23.87,1,0,0,24.415,43.61666667,NORMAL,0,22.6,4.5,0,78,25.9,4.6,0,65,RESIDENTIAL,RESIDENTIAL,4,0,4,15.77,0,21.18
449,"3,1",,,545,"3,4",RAPIDO,23,55,23.92,1,0,0,24.189,40.9,NORMAL,0,21.5,4.2,0,91,24.5,4.3,0,80,RESIDENTIAL,RESIDENTIAL,3,0,3,18.56,0,22.53
,,,,276,"4,3",RAPIDO,23,59,23.98,1,0,0,12.661,27.8,MODERATE,0,24,4.3,0,85,24,4.3,0,80,RESIDENTIAL,RESIDENTIAL,0,0,4,0,0,21.8
,,,,418,"3,5",RAPIDO,0,1,0.02,2,0,0,18.827,34.7,NORMAL,0,23.8,4.8,0,85,23.7,4.8,0,85,ENTERTAINMENT,RESIDENTIAL,0,0,3,0,0,22.2
533,"2,1",,,705,"2,4",RAPIDO,0,4,0.07,2,0,0,46.239,69.06666667,LOW,0,21.4,4.2,0,92,23.7,4.8,0,85,TRANSIT_HUB,RESIDENTIAL,2,0,2,11.53,0,15.25
442,"2,1",,,639,"2,3",RAPIDO,0,6,0.1,2,0,0,38.808,67.65,NORMAL,0,21.4,4.2,0,92,23.8,4.3,0,80,TRANSIT_HUB,RESIDENTIAL,2,0,2,11.39,0,16.47
153,"2,1",,,273,"2,3",RAPIDO,0,9,0.15,2,0,0,12.42,23.31666667,NORMAL,0,21.4,4.2,0,92,21.3,4.2,0,92,TRANSIT_HUB,RESIDENTIAL,2,0,2,12.32,0,21.98
365,"4,1",,,523,"4,4",RAPIDO,0,13,0.22,2,0,0,29.138,48.38333333,NORMAL,0,24.3,4.7,0,80,23.7,4.8,0,85,TRANSIT_HUB,RESIDENTIAL,4,0,4,12.53,0,17.95
35,"4,8",109,"4,8",173,"4,8",RAPIDO,18,54,18.9,2,0,1,2.157,10.25,HEAVY,0,30.3,2.2,3,46,30.3,2.2,3,46,TRANSIT_HUB,TRANSIT_HUB,4,4,4,16.23,50.53,80.2
88,"3,8",180,"3,8",187,"3,8",RAPIDO,18,55,18.92,2,0,1,10.816,21.51666667,NORMAL,0,30.3,3,1,49,30.3,3,1,49,TRANSIT_HUB,RESIDENTIAL,3,3,3,8.14,16.64,17.29
33,"2,8",55,"2,8",104,"2,7",RAPIDO,18,56,18.93,2,0,1,2.52,7.216666667,HEAVY,0,30,2.5,3,50,30,2.5,3,50,RESIDENTIAL,RESIDENTIAL,2,2,2,13.1,21.83,41.27
43,"2,8",65,"2,8",110,"2,8",RAPIDO,18,59,18.98,2,0,1,5.08,13.85,MODERATE,0,30.2,3,1,49,30.3,3,1,49,RESIDENTIAL,RESIDENTIAL,2,2,2,8.46,12.8,21.65
72,"3,8",114,"6,8",152,"6,8",RAPIDO,19,0,19,2,0,1,7.892,17.45,MODERATE,0,29.9,2.6,1,50,29.9,2.6,1,50,RESIDENTIAL,RESIDENTIAL,3,6,6,9.12,14.45,19.26
27,"5,7",79.38,"4,7",147.58,"5,6",UBER,19,5,19.08,2,0,1,2.157,10.25,HEAVY,0,29,3.3,3,51,29,3.3,3,51,TRANSIT_HUB,TRANSIT_HUB,5,4,5,12.52,36.8,68.42
76.23,"3,8",135.35,"4,8",233.24,"2,8",UBER,19,7,19.12,2,0,1,10.816,21.51666667,NORMAL,0,28.9,3.3,3,54,28.9,3.3,3,54,TRANSIT_HUB,RESIDENTIAL,3,4,2,7.05,12.51,21.56
36,"3,8",51.97,"3,8",128.17,"1,7",UBER,19,9,19.15,2,0,1,2.52,7.216666667,HEAVY,0,28.6,3.3,3,54,28.6,3.3,3,54,RESIDENTIAL,RESIDENTIAL,3,3,1,14.29,20.62,50.86
40.4,"2,8",68.68,"2,7",152.74,"2,8",UBER,19,11,19.18,2,0,1,5.08,13.85,MODERATE,0,28.9,3.3,3,54,28.9,3.3,3,54,RESIDENTIAL,RESIDENTIAL,2,2,2,7.95,13.52,30.07
64.23,"3,8",120.23,"5,8",198.38,"5,8",UBER,19,13,19.22,2,0,1,7.892,17.45,MODERATE,0,28.8,3.3,3,54,28.9,3.3,3,54,RESIDENTIAL,RESIDENTIAL,3,5,5,8.14,15.23,25.14
34,"3,8",103,"3,8",164,"3,8",RAPIDO,20,59,20.98,2,0,1,2.157,10.25,HEAVY,0,26.9,3.5,3,58,26.9,3.5,3,58,TRANSIT_HUB,TRANSIT_HUB,3,3,3,15.76,47.75,76.03
86,"3,8",119,"3,8",178,"3,8",RAPIDO,21,0,21,2,0,1,10.816,21.51666667,NORMAL,0,27.4,3.1,0,59,27.4,3.1,0,59,TRANSIT_HUB,RESIDENTIAL,3,3,3,7.95,11,16.46
33,"2,8",55,"2,7",104,"2,8",RAPIDO,21,2,21.03,2,0,1,2.52,7.216666667,HEAVY,0,27.3,3.1,2,57,27.3,3.1,2,57,RESIDENTIAL,RESIDENTIAL,2,2,2,13.1,21.83,41.27
43,"2,8",67,"2,8",110,"2,8",RAPIDO,21,3,21.05,2,0,1,5.08,13.85,MODERATE,0,27.4,3.1,0,59,27.4,3.1,0,59,RESIDENTIAL,RESIDENTIAL,2,2,2,8.46,13.19,21.65
71,"3,8",114,"3,8",151,"3,8",RAPIDO,21,4,21.07,2,0,1,7.892,17.45,MODERATE,0,27.3,3.1,0,59,27.3,3.1,0,59,RESIDENTIAL,RESIDENTIAL,3,3,3,9,14.45,19.13
24,"7,8",78.48,"5,8",137.72,"7,7",UBER,21,6,21.1,2,0,1,2.157,10.25,HEAVY,0,27.6,3.3,0,54,27.6,3.3,0,54,TRANSIT_HUB,TRANSIT_HUB,7,5,7,11.13,36.38,63.85
68.19,"1,8",123.94,"1,8",158.39,"1,8",UBER,21,8,21.13,2,0,1,10.816,21.51666667,NORMAL,0,26.2,3.7,1,64,26.2,3.7,1,64,TRANSIT_HUB,RESIDENTIAL,1,1,1,6.3,11.46,14.64
29,"4,8",47.38,"2,7",99.2,"1,8",UBER,21,9,21.15,2,0,1,2.52,7.216666667,HEAVY,0,26,3.1,2,62,26,3.1,2,62,RESIDENTIAL,RESIDENTIAL,4,2,1,11.51,18.8,39.37
38.85,"2,8",58.17,"3,8",105.47,"3,8",UBER,21,11,21.18,2,0,1,5.08,13.85,MODERATE,0,27.4,3.1,0,59,27.4,3.1,0,59,RESIDENTIAL,RESIDENTIAL,2,3,3,7.65,11.45,20.76
